"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:WATCH_BUYER0","Ah!","Åh!"
"traveler:WATCH_BUYER0","All digital!","Helt digital!"
"traveler:WATCH_BUYER0","Is very nice.","Är väldigt bra."
"traveler:WATCH_BUYER1","That watch.~","Den klockan.~"
"traveler:WATCH_BUYER1","Guy behind me in line would not shut up about it.","Kille bakom mig i kön kunde inte hålla tyst om den."
"traveler:WATCH_BUYER1","On and on about how important is to family.~","Pratade och pratade om hur viktig för familj.~"
"traveler:WATCH_BUYER1","Look.","Hör här."
"traveler:WATCH_BUYER1","Is good watch, I can see.","Är bra klocka, jag kan se."
"traveler:WATCH_BUYER1","I give you 20 credits for it right now.","Jag ger dig 20 krediter för den nu med en gång."
"traveler:WATCH_BUYER1","He say he pay you back only 10 credits.","Han säger han bara betalar dig tillbaka 10 krediter."
"traveler:WATCH_BUYER1","Is good deal here I offer you.","Är bra deal här jag erbjuder."
"traveler:WATCH_BUYER1","Ah!","Åh!"
"traveler:WATCH_BUYER1","All digital!","Helt digital!"
"traveler:WATCH_BUYER1","Is very nice.","Är väldigt bra."
"traveler:WATCH_GIVER1","As promised, I am back with right papers now.","Som lovat, jag är tillbaka med rätt papper nu."
"traveler:WATCH_GIVER1","You have my watch?","Du har min klocka?"
"traveler:WATCH_GIVER1","Arstotzkan bastard.","Arstotzkanska svin."
"traveler:WATCH_GIVER1","I was to give you nice reward.","Jag skulle ge dig bra belöning."
"traveler:WATCH_GIVER1","Ah she is beautiful!","Åh hon är vacker!"
"traveler:WATCH_GIVER1","Here.","Här."
"traveler:WATCH_GIVER1","Now I just need battery.","Nu jag bara behöver nytt batteri."
"traveler:WATCH_GIVER1","Hey!","Du!"
"traveler:WATCH_GIVER1","There is new scratch here!","Det är ny repa här!"
"traveler:WATCH_GIVER1","Give money back!","Ge pengar tillbaka!"
"traveler:WATCH_GIVER1","Wow. You are pretty honest person.","Wow. Du är en ärlig person."
"traveler:WATCH_GIVER1","You know, I cannot take this.","Vet du, jag kan inte ta denna."
"traveler:WATCH_GIVER1","Scratch was there before actually.","Repa var där tidigare faktiskt."
"traveler:WATCH_GIVER1","Thank you.","Tack."
"traveler:WATCH_GIVER1","Now please give watch back.","Nu snälla ge mig klocka tillbaka."
"traveler:WATCH_GIVER1","I start to think maybe all Arstotzkans are not so bad.","Jag börjar tänka att kanske alla Arstotzkaner inte är så dumma."
"traveler:WATCH_GIVER1","Ah forget it.","Äh glöm det."
"traveler:WATCH_GIVER1","You keep money.","Du behåller pengar."
"traveler:WATCH_GIVER1","But all papers are good!","Men alla papper är bra!"
"traveler:WATCH_GIVER1","Are you blind?","Är du blind?"
"traveler:WATCH_GIVER1","Fine.","Ok."
"traveler:WATCH_GIVER1","Give watch back.","Ge klocka tillbaka."
"traveler:WATCH_GIVER1","You crook!","Din skurk!"
"traveler:WATCH_GIVER1","All Arsotzkans are same.","Alla Arsotzkaner är likadana."
"traveler:WATCH_GIVER1","Liars and cheats!","Lögnare och skojare!"
"traveler:WATCH_GIVER1","I will not leave without watch.","Jag går inte ifrån utan klocka."
"traveler:WATCH_GIVER1","Is expensive gift from cousin!","Är dyr gåva från kusin!"
"traveler:WATCH_GIVER1","Only needs new battery.","Behöver bara nytt batteri."
"traveler:WATCH_GIVER1","Tell guards to keep away.","Säg åt vakter att hålla sig borta."
"traveler:WATCH_GIVER1","Give back my watch!","Ge tillbaka min klocka!"
"traveler:WATCH_GIVER1","I will not leave without money.","Jag lämnar inte utan pengar."
"traveler:WATCH_GIVER1","You ruin my good watch.","Du förstörde min fina klocka."
"traveler:WATCH_GIVER1","Give back my money!","Ge tillbaka mina pengar!"
"traveler:WATCH_GIVER1","Where is my watch?","Var är min klocka?"
"traveler:WATCH_GIVER1","@I sold it.","@Jag sålde den."
"traveler:WATCH_GIVER1","What!","Va?!"
"traveler:WATCH_GIVER1","I give you watch to hold.","Jag gav dig klocka att hålla."
"traveler:WATCH_GIVER1","Put trust in you!","Litade på dig!"
"traveler:WATCH_GIVER1","Watch was gift from cousin.","Klocka var gåva från kusin."
"traveler:WATCH_GIVER1","I hope you got good money for it.","Jag hoppas du fick bra pengar för den."
"traveler:WATCH_GIVER1","Damn Arstotzkan crook.","Jävla Arstotzkanska skurk."
"traveler:ARSKICKER0","Hey man.","Hej mannen."
"traveler:ARSKICKER0","I lost id card.","Jag tappade ID-kort"
"traveler:ARSKICKER0","I think someone stole it from locker room.","Jag tror någon stal från omklädningsrum."
"traveler:ARSKICKER0","But we won match!","Men vi vann match!"
"traveler:ARSKICKER0","Can't wait to get home.~","Kan inte vänta på att komma hem.~"
"traveler:ARSKICKER0","I have carried this for years, maybe you take it.","Jag har burit denna i år, kanske du tar den."
"traveler:ARSKICKER0","@Your Arstotzkan id card is missing.","@Ditt Arstotzkanska ID-kort saknas."
"traveler:ARSKICKER0","I know man. I told you.","Jag vet mannen. Jag sa till dig."
"traveler:ARSKICKER0","It was stolen.","Det stals."
"traveler:ARSKICKER0","C'mon let me through.","Kom igen, släpp in mig."
"traveler:ARSKICKER0","Thanks bud, is good to be home!","Tack kompis, är skönt att vara hemma!"
"traveler:ARSKICKER0","Hey bullshit!","Va? Skitsnack!"
"traveler:ARSKICKER0","I gave you pennant even!","Jag gav dig vimpel till och med!"
"traveler:ARSKICKER0","Gonna tell coach about this crap.","Ska berätta för tränare om denna skit."
"traveler:ARSKICKER1","Hi again.","Hej igen."
"traveler:ARSKICKER1","Remember me?","Kommer ihåg mig?"
"traveler:ARSKICKER1","Go Arskickers!","Heja Rövsparkarna!"
"traveler:ARSKICKER1","I give you that great banner.~","Jag gav dig den fina banderollen.~"
"traveler:ARSKICKER1","Listen, I tell my coach about this.","Se här, jag berättade för tränare om detta."
"traveler:ARSKICKER1","He get very upset.","Han är väldigt upprörd."
"traveler:ARSKICKER1","Say if I do not get banner back, I lose front seat on team bus.~","Säger att om jag inte får banderoll tillbaka, jag förlorar framsäte på lagbuss.~"
"traveler:ARSKICKER1","All seats good, but front seat definitely best.","Alla säten bra, men framsäte helt klart bäst."
"traveler:ARSKICKER1","So I really just need banner back.","Så jag behöver bara verkligen banderoll tillbaka."
"traveler:ARSKICKER1","What you say?","Vad du säger?"
"traveler:ARSKICKER1","Lousy fan!","Usla fan!"
"traveler:ARSKICKER1","Ah thanks!","Åh tack!"
"traveler:ARSKICKER1","Do not forget to root for us!","Glöm inte att heja på oss!"
"traveler:ARSKICKER1","Ah good.","Bra."
"traveler:ARSKICKER1","It is more beaten up than I remember.","Den är mer trasig än jag kommer ihåg."
"traveler:ARSKICKER1","Even there is big tear here.","Det till och med är stor reva här."
"traveler:ARSKICKER1","What did you do?","Vad du gjorde?"
"traveler:ARSKICKER1","Oh well. Coach should be happy.","Nåja. Tränare kommer bli glad."
"traveler:ARSKICKER1","Alright that is great yeah.","Ok det är bra ja."
"traveler:ARSKICKER1","But where is banner?","Men var är banderoll?"
"traveler:ARSKICKER1","Thanks bud!","Tack kompis!"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","Glöm inte att heja på oss nästa match!"
"traveler:ARSKICKER1","Ok. Well.","Ok. Hmm."
"traveler:ARSKICKER1","That is messed up.","Det är skit."
"traveler:ARSKICKER1","At least you give banner back right?","Du i alla fall ge mig banderoll tillbaka, eller hur?"
"traveler:ARSKICKER1","At least you give banner back.","I alla fall du ger banderoll tillbaka."
"traveler:ARSKICKER1","@The banner is mine now.","@Banderollen är min nu."
"traveler:ARSKICKER1","Oh boy.","Åh fan."
"traveler:ARSKICKER1","Such an asshole here.","Vilket rövhål här."
"traveler:ARSKICKER1","If guards do not kill me, coach will.","Om vakter inte dödar mig, tränare gör."
"traveler:BUSTED_SPY","I have not much time.","Jag har inte mycket tid."
"traveler:BUSTED_SPY","You must hold on to these.","Du måste hålla fast vid dessa."
"traveler:BUSTED_SPY","Keep them safe today.","Håll dem säkra idag."
"traveler:BUSTED_SPY","I am being followed by an imposter.","Jag förföljs av en bedragare."
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","De låtsas vara från Informationsministeriet men det är en lögn."
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","Om de frågar efter dokument, ge dessa istället."
"traveler:BUSTED_SPY","Do not mix them up.","Blanda inte ihop dem."
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@Dina papper?"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","Jag är från Informationsministeriet."
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","Du har något att ge oss."
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","Perfekt."
"traveler:GYM_INSTRUCTOR","You are skin and bones.","Du är skinn och ben."
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","Slår vad om att du inte har någon riktig styrka."
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","Kom till gym, jag gör dig stor."
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","Jag garanterar att du blir stor på Get Big Town."
"traveler:GYM_INSTRUCTOR","Is what we do.","Är vad vi gör."
"traveler:GYM_INSTRUCTOR","Denied? Hah.","Avslås? Ha!"
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","Detta är vad jag förväntar av spinkig vekling."
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","Jag brukade vara en inspektör som du."
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","Många år sen. I Förenta Fed.~"
"traveler:OLD_INSPECTOR","We denied most people.~","Vi avslog de flesta.~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","Det görs av datorer nu."
"traveler:OLD_INSPECTOR","They can deny much faster that way.","De kan avslå mycket snabbare så."
"traveler:OLD_INSPECTOR","Good luck.","Lycka till."
"traveler:OLD_INSPECTOR","I do not miss it.","Jag saknar det inte."
"traveler:OLD_INSPECTOR","What? Why am I denied?~","Va? Varför avslås jag?~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","Så detta är hur det känns.~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@Var är inresetillstånd?"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","Äh, det kvittar vad jag säger."
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","Avslå bara visum och jag går."
"traveler:RED_STAMP","Red stamp.","Röd stämpel."
"traveler:RED_STAMP","@What?","@Va?"
"traveler:RED_STAMP","Give me red stamp.","Ge mig röd stämpel."
"traveler:RED_STAMP","I am serious.","Jag är seriös."
"traveler:RED_STAMP","I have better job offer in Impor.","Jag har bättre jobberbjudande i Impor."
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","Röd stämpel och jag kan bryta kontrakt i Arstotzka."
"traveler:RED_STAMP","10 credits for you.","10 krediter för dig."
"traveler:RED_STAMP","Damn it.","Fan också."
"traveler:RED_STAMP","I am sure you deny people all day.","Jag är säker på att du avslår folk hela dan."
"traveler:RED_STAMP","Why not now?","Varför inte nu?"
"traveler:RED_STAMP","I figure something else out.","Jag kommer på något annat."
"traveler:RED_STAMP","Ok, now I get free from this bad job.","Ok, nu blir jag fri från detta dåliga jobb."
"traveler:RED_STAMP","Thanks.","Tack."
"traveler:NEED_SURGERY","I come for medical reasons.","Jag kommer för medicins orsak."
"traveler:NEED_SURGERY","@Your papers are missing.","@Dina papper saknas."
"traveler:NEED_SURGERY","Please.","Snälla."
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","Kirurgi jag behöver är förbjuden i Kolechia."
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","Även så litar jag inte på läkare där."
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","Bara Arstotzka har skickliga kirurger."
"traveler:NEED_SURGERY","@You do not have the right documents.","@Du har inte de rätta dokumenten."
"traveler:NEED_SURGERY","Yes.","Ja."
"traveler:NEED_SURGERY","They will not give papers for surgery.","De ger inte papper för kirurgi."
"traveler:NEED_SURGERY","Thank you. I will not forget this.","Tack. Jag ska inte glömma detta."
"traveler:NEED_SURGERY","I expected this.","Jag väntade mig detta."
"traveler:NEED_SURGERY","I do not know how long I survive.","Jag vet inte hur länge jag lever."
"traveler:NEED_SURGERY","But you do not care.~","Men du bryr dig inte.~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","Jag hoppas inte du är i samma sits som du."
"traveler:LOVE_SONG","I will leave this here.","Jag lämnar denna här."
"traveler:LOVE_SONG","Great!","Bra!"
"traveler:LOVE_SONG","You really super guy!~","Du verkligen superkille!~"
"traveler:LOVE_SONG","Can I have note back now?","Kan jag få papper tillbaka nu?"
"traveler:LOVE_SONG","I need it for next inspector.","Jag behöver det för nästa inspektör."
"traveler:LOVE_SONG","But I give you such lovely note!","Men jag ger dig så fint papper!"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","Tack och som jag sa, du superkille."
"traveler:LOVE_SONG","Do not forget.","Glöm inte."
"traveler:LOVE_SONG","Is too much?","Är för mycket?"
"traveler:LOVE_SONG","@Yes.","@Ja."
"traveler:LOVE_SONG","Is too much. I can see that now.","Är för mycket. Jag ser det nu."
"traveler:LOVE_SONG","Next time I make couple copies first.","Nästa gång jag gör kopior först."
"traveler:LOVE_SONG_LONELY","Life sucks.","Livet suger."
"traveler:LOVE_SONG_LONELY","Nobody loves me.","Ingen älskar mig."
"traveler:LOVE_SONG_LONELY","For me?","För mig?"
"traveler:LOVE_SONG_LONELY","Like fire?","Som flamma?"
"traveler:LOVE_SONG_LONELY","Object of desire?","Begär?"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","Wow, ingen säger så fina saker!"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","Det om visum är förvirrande men resten väldigt kraftfullt."
"traveler:LOVE_SONG_LONELY","Thank you!","Tack!"
"traveler:LOVE_SONG_LONELY","Thank you again!","Tack igen!"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","Tack antar jag."
"traveler:LOVE_SONG_LONELY","No problem!","Inga problem!"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","Idag är bra dag ändå!"
"traveler:LOVE_SONG_LONELY","Even you hate me.","Även du hatar mig."
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","Någon kille jag inte ens känner."
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","Det var ett misstag att öppna gränskontrollen."
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","Äntligen kan jag återvända hem."
"traveler:FINALLY_RETURN_HOME","You bastard.","Din jävel."
"traveler:FINALLY_RETURN_HOME","Thank you.","Tack."
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","Gränskontrollen är mindre än jag väntade mig."
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","Jag har väntat i den här jävla kön i 8 timmar."
"traveler:WAITED_FOREVER","I hope it was worth it.","Jag hoppas det var värt det."
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","Otroligt. Dra åt helvete."
"traveler:HURRY_UP","Hurry up.","Skynda dig."
"traveler:HURRY_UP","I am meeting bus soon.","Jag träffar buss snart."
"traveler:HURRY_UP","What is this?","Vad är detta?"
"traveler:HURRY_UP","Finally.","Äntligen."
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","Jag hörde om terroristattack."
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","Du har tur som fortfarande har jobb."
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","Var försiktig."
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","Vad? Jag vet inte. För besök?"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","Några dagar kanske."
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","Inresetillstånd? Jag har biljett här."
"traveler:TICKET_NOT_PERMIT","Let me through.","Släpp igenom mig."
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@Biljett är inte längre tillräckligt."
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@Skaffa tillstånd."
"traveler:TICKET_NOT_PERMIT","Bullshit!","Jävla skit!"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","Jag betalade mycket för biljett."
"traveler:VISIT_SON","I am so happy that the border has opened.","Jag är så glad att gränsen har öppnats."
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","Jag ska besöka min son. Jag har inte sett honom på sex år. [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6 månader. [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","Snälla, släpp igenom mig. Min son väntar."
"traveler:VISIT_SON","Thank you.","Tack."
"traveler:VISIT_SON","Curse you.","Fan ta dig."
"traveler:DETAIN_FIRST","Hey wait.","Du vänta."
"traveler:DETAIN_FIRST","Do not arrest me, please.","Snälla arrestera mig inte."
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","Bara avslå mitt pass och jag försvinner."
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","Det är inte mitt val. Jag hatar det här jävla landet."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","Jag är bara på genomresa. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","Så lite som möjligt. 2 dagar. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Ugh."
"traveler:HATE_COUNTRY","Just as well.","Lika bra."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Sakta ner min vänt."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","Jag har bara ofarlig medicin."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","Jag ger dig 10 krediter för att släppa igenom mig."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Utmärkt."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","Som jag lovade."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Varför tacka nej till bra pengar?"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@Du har tur som slipper bli arresterad."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Kom inte tillbaka."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@Du kan inte muta en Arstotzkansk tjänsteman."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","De måste betala bra för sådan lydnad, din hund."
"traveler:TWO_PASSPORTS","Shit!","Skit!"
"traveler:TWO_PASSPORTS","I make small mistake.","Jag gjorde litet misstag."
"traveler:TWO_PASSPORTS","Please give documents back.","Snälla ge tillbaka dokument."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Varför har di två pass?"
"traveler:TWO_PASSPORTS","Is funny story.","Är rolig historia."
"traveler:TWO_PASSPORTS","I tell you everything.","Jag berättar allt."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","Först, du ger mig papper tillbaka."
"traveler:TWO_PASSPORTS","And the others?","Och de andra?"
"traveler:TWO_PASSPORTS","Last one please.","Den sista snälla."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","Detta id-tillägg är väldigt jobbig."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Var inte enkelt att skaffa och gäller bara få dagar."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","Ni från Arstotzka gör det bara svårare och svårare."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Varför ens ha gräns öppen?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Bah."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Vore bättre att lägga pengar på muta."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","Mindre besvär och snabbare."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","Jag visste att det inte ens skulle fungera."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Lustigt att se dig här."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@Precis när vi börjar leta efter brottslingar."
"traveler:CRIMINAL_FIRST","Criminals?","Brottslingar?"
"traveler:CRIMINAL_FIRST","What are you saying?","Vad säger du?"
"traveler:DENIAL_REASON_FIRST","Denied?","Nekad?"
"traveler:DENIAL_REASON_FIRST","For what reason?","Av vilken orsak?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@Det är tydligt stämplat här."
"traveler:DENIAL_REASON_FIRST","Oh.~","Åh.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","Dra åt helvete ändå."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Imporier är förbjudna att komma in."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Imporier är förbjudna att komma in."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Ta inte din sjukdom till Arstotzka."
"traveler:NO_UNITEDFED_FIRST","What?","Vad?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","Jag är helt frisk."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","Det är så enkelt att neka inträde."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","Allt pappersarbete bortslösat."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Ta inte din sjukdom till Arstotzka."
"traveler:NO_UNITEDFED","What?","Vad?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","Jag är helt frisk."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","Det är så enkelt att neka inträde."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","Allt pappersarbete bortslösat."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Tack. Det är skönt att vara hemma igen."
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","Jag åker för en resa så jag behöver bara mitt pass tillbaka."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@Det konfiskeras."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","Vad menar du?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Kontakta nummer på papper för återförvärv."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","Du kan bara ge det tillbaka."
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@Det har arkiverats. Jag kan inte ge det tillbaka."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","Jag lämnar inte utan pass."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Var är mitt pass?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","Du nekar inträde och tar pass?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","Vad ska jag göra?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Kontakta nummer på papper."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","Du kan inte göra detta mot mig!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","Jag är Arstotzkansk medborgare."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","Jag har rätt att resa fritt."
"traveler:WHISTLEBLOWER","Thank you.","Tack så mycket."
"traveler:WHISTLEBLOWER","I hope that things are better here.","Jag hoppas det är bättre här."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","Vad? Jag lovades asyl här."
"traveler:WHISTLEBLOWER","I have nowhere else to go.","Jag har ingen annanstans att ta vägen."
"traveler:WHISTLEBLOWER","@This is not my problem.","@Det är inte mitt problem."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","Ni Arstotzkaner ändrar hela tiden reglerna."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","Min syster kom igenom förra veckan med andra dokument."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","Nu behöver jag tillträdestillstånd."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Kostar dubbelt så mycket som innan."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","Vad fan är tillträdestillstånd?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Menar du inresetillstånd?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","Jag har det här."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@Jag menar tillträdestillstånd."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Har aldrig hört om det. Låter korkat."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Inresetillstånd och tillägg accepteras inte längre."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Tillträdestillstånd ersätter dem."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@Gör mitt jobb enklare."
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","Jag bryr mig inte om ditt jobb."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Fan."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","Jag har hört detta är väldigt strikt gränskontroll."
"traveler:STRICT_BORDER","I am glad my papers are in order.","Jag är glad att mina papper är i ordning."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","Jag har hört att gränsen ska stänga."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","Mitt tillträdestillstånd kommer inte komma i tid."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Snälla var barmhärtig."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Ja jag vet. Jag berättade just det."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","Jag är rädd att gränsen kommer stänga innan jag kan komma igenom."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","Vad är plakatet på väggen?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","Du är erkänd för närvaro?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Bra jobbat."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","Vad är detta på väggen?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Erkänd för tillräcklighet?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Imponerande. Varför ens ha plakat?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","Du är erkänd för förträfflighet?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","Jag hoppas de ger dig löneökning och inte bara plakat."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Hitta bättre plakat."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","Detta ser ut som billig skit."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Tänka sig."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","Du är som detta plakat."
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","Billig skit."
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","Vad i helvete?"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","Snygg banner!"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","Jag kommer ihåg det spelet."
"traveler:WALLCOMMENT_ARSKICKER","Intense.","Intensivt."
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","Heja Rövsparkare!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","Vad i helvete?"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","Jag trodde vi hade Rövsparkare gemensamt."
